counseling_authority,college_name,type,exam,minority,university,quota,course,category,round,cutoff,year,seat,fee
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Pathology,General,round 1,7852,2024,03,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Pathology,General,round 2,37363,2024,03,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Pathology,General,round 3,20847,2024,03,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Pathology,General,round 4,26139,2024,03,"9,48,600/-"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 1,3831,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 2,2706,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 3,14240,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 4,32828,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 1,31196,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 2,35169,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 3,13935,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 4,14433,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 1,8631,2024,02,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 2,14855,2024,02,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 3,12387,2024,02,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 4,12113,2024,02,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 1,35172,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 2,39177,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 3,8913,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 4,24610,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 1,31940,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 2,25529,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 3,29055,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 4,19458,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 1,30754,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 2,35585,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 3,27505,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 4,13181,2024,05,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 1,13152,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 2,37659,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 3,34695,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 4,31866,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 1,28361,2024,0,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 2,33133,2024,0,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 3,38929,2024,0,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 4,31167,2024,0,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 1,459,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 2,25798,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 3,1338,2024,03,"7,67,600"
Uttar Pradesh,"IDST Dental College, Modinagar, Ghaziabad",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Public Health,General,round 4,4507,2024,03,"7,67,600"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,Muslim Minority,round 1,33437,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,Muslim Minority,round 2,20170,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,Muslim Minority,round 3,21617,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,Muslim Minority,round 4,11061,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,General,round 1,23193,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,General,round 2,27749,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,General,round 3,35463,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Endodontics,General,round 4,14960,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,Muslim Minority,round 1,8090,2024,02,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,Muslim Minority,round 2,7930,2024,02,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,Muslim Minority,round 3,16012,2024,02,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,Muslim Minority,round 4,25127,2024,02,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,General,round 1,32741,2024,03,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,General,round 2,17483,2024,03,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,General,round 3,11243,2024,03,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Prosthodontics,General,round 4,9770,2024,03,"5,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,Muslim Minority,round 1,9853,2024,03,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,Muslim Minority,round 2,12421,2024,03,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,Muslim Minority,round 3,30695,2024,03,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,Muslim Minority,round 4,36868,2024,03,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,General,round 1,31234,2024,02,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,General,round 2,26558,2024,02,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,General,round 3,8054,2024,02,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Periodontics,General,round 4,26759,2024,02,"3,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,Muslim Minority,round 1,10138,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,Muslim Minority,round 2,1180,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,Muslim Minority,round 3,3708,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,Muslim Minority,round 4,16619,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,General,round 1,1749,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,General,round 2,13965,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,General,round 3,9682,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Orthodontics,General,round 4,8828,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,Muslim Minority,round 1,24583,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,Muslim Minority,round 2,20679,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,Muslim Minority,round 3,24718,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,Muslim Minority,round 4,25274,2024,02,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,General,round 1,5340,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,General,round 2,26972,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,General,round 3,10566,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Surgery,General,round 4,6124,2024,03,"6,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,Muslim Minority,round 1,38433,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,Muslim Minority,round 2,22485,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,Muslim Minority,round 3,24342,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,Muslim Minority,round 4,39747,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,General,round 1,23707,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,General,round 2,8587,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,General,round 3,12545,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Pedodontics,General,round 4,11516,2024,02,"4,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,Muslim Minority,round 1,2698,2024,02,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,Muslim Minority,round 2,10406,2024,02,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,Muslim Minority,round 3,27251,2024,02,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,Muslim Minority,round 4,12543,2024,02,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,General,round 1,39675,2024,01,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,General,round 2,34494,2024,01,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,General,round 3,36075,2024,01,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Medicine & Radiology,General,round 4,35920,2024,01,"2,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,Muslim Minority,round 1,21418,2024,02,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,Muslim Minority,round 2,2062,2024,02,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,Muslim Minority,round 3,33814,2024,02,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,Muslim Minority,round 4,32192,2024,02,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,General,round 1,6613,2024,01,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,General,round 2,34313,2024,01,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,General,round 3,10316,2024,01,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Oral Pathology,General,round 4,8359,2024,01,"1,50,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,Muslim Minority,round 1,11294,2024,02,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,Muslim Minority,round 2,27160,2024,02,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,Muslim Minority,round 3,16154,2024,02,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,Muslim Minority,round 4,6237,2024,02,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,General,round 1,16004,2024,01,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,General,round 2,6640,2024,01,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,General,round 3,10501,2024,01,"2,00,000/-"
Uttar Pradesh,"Career Post Graduate Dental College, Lucknow",,NEET-MDS,Muslim,ABVMU,Minority,MDS - Public Health,General,round 4,19346,2024,01,"2,00,000/-"
Uttar Pradesh,"Teerthankar Mahaveer Dental College, Mordabad",,NEET-MDS,Jain,ABVMU,Minority,MDS - Endodontics,Jain Minority,round 1,6830,2024,02,"6,21,000/-"
Uttar Pradesh,"Teerthankar Mahaveer Dental College, Mordabad",,NEET-MDS,Jain,ABVMU,Minority,MDS - Endodontics,Jain Minority,round 2,36328,2024,02,"6,21,000/-"
Uttar Pradesh,"Teerthankar Mahaveer Dental College, Mordabad",,NEET-MDS,Jain,ABVMU,Minority,MDS - Endodontics,Jain Minority,round 3,28045,2024,02,"6,21,000/-"
Uttar Pradesh,"Teerthankar Mahaveer Dental College, Mordabad",,NEET-MDS,Jain,ABVMU,Minority,MDS - Endodontics,Jain Minority,round 4,13983,2024,02,"6,21,000/-"
Uttar Pradesh,"Teerthankar Mahaveer Dental College, Mordabad",,NEET-MDS,Jain,ABVMU,Minority,MDS - Endodontics,General,round 1,33613,2024,03,"6,21,000/-"
